CallSign,StationLat,StationLon,Service,RFChannel,LicenseExpirationDate,StatusDate,Status,CommunityCity,CommunityState,FacilityType,Frequency,ActiveInd,PartyName,PartyAddress1,PartyAddress2,PartyCity,PartyZip1,PartyState,PartyPhone,stationFormat,station_latitude,station_longitude
WOPR,36.351306,-79.787083,FM Station,201,12/01/2027,08/06/2021,LICENSED,MADISON,NC,ED,88.1,Y,CHURCH PLANTERS OF AMERICA,6704 NC HIGHWAY 8 SOUTH,,GERMANTON,27019,NC,(605)868-0525,Gospel Music,36.35133,-79.78709
WWMY,36.184278,-81.879833,FM Station,272,12/01/2027,,LICENSED,BEECH MOUNTAIN,NC,CDT,102.3,Y,"High Country Adventures, LLC",3012 Highwoods Blvd.,Suite 200,Raleigh,27604,NC,9197909392,Country,36.184293,-81.879836
WRSU-FM,40.46675,-74.437083,FM Station,204,06/01/2022,,LICENSED,NEW BRUNSWICK,NJ,ED,88.7,Y,BOARD OF GOVERNORS OF RUTGERS,126 COLLEGE AVE,,NEW BRUNSWICK,8901,NJ,,College,40.466772,-74.437096
KAYA,42.35275,-96.525861,FM Station,217,06/01/2029,,LICENSED,HUBBARD,NE,ED,91.3,Y,AMERICAN FAMILY ASSOCIATION,PO BOX 2440,,TUPELO,38801,MS,(662)844-8888,Religious,42.352773,-96.525868
KJTS,44.268556,-94.439389,FM Station,202,04/01/2029,05/25/2010,LICENSED,NEW ULM,MN,ED,88.3,Y,"MINN-IOWA CHRISTIAN BROADCASTING, INC.",860 Madison Ave,,Mankato,56001,MN,(507)526-3233,Religious,44.268574,-94.439416
KKUU,33.870861,-116.227778,FM Station,224,12/01/2021,,LICENSED,INDIO,CA,H,92.7,Y,Alpha Media Licensee LLC Debtor in Possession,1211 SW 5TH AVENUE,SUITE 750,PORTLAND,97204,OR,(503)517-6200,Top-40,33.870848,-116.227784
WSUW,42.836111,-88.743444,FM Station,219,12/01/2028,09/22/2005,LICENSED,WHITEWATER,WI,ED,91.7,Y,"BOARD OF REGENTS, UNIVERSITY OF WISCONSIN SYSTEM",1220 LINDEN DRIVE,,MADISON,53706,WI,,College,42.83612,-88.743438
KGRH,43.701361,-98.063417,FM Station,201,04/01/2029,11/23/2010,LICENSED,LOOMIS,SD,EDT,88.1,Y,"THE PRAISE NETWORK, INC.",128 SOUTH 4TH STREET,,O'NEILL,68763,NE,4023361230,Christian Contemporary,43.701373,-98.063411
KTUX,32.38875,-94.019611,FM Station,255,08/01/2029,,LICENSED,CARTHAGE,TX,CDT,98.9,Y,"TOWNSQUARE LICENSE, LLC","1 MANHATTANVILLE ROAD, SUITE 202",,PURCHASE,10577,NY,2038610900,Classic Rock,32.388767,-94.019629
WUWM,43.090556,-87.897306,FM Station,209,12/01/2028,,LICENSED,MILWAUKEE,WI,ED,89.7,Y,"BOARD OF REGENTS, UNIVERSITY OF WISCONSIN SYSTEM",1730 VAN HISE HALL,1220 LINDEN DRIVE,MADISON,53706,WI,,Public Radio,43.090568,-87.897307
WZRG,40.792306,-76.384667,FM Station,220,08/01/2030,06/20/2012,LICENSED,KULPMONT,PA,EDT,91.9,Y,"SALT AND LIGHT MEDIA MINISTRIES, INC.",101 ARMORY BOULEVARD,,LEWISBURG,17837,PA,5705231190,Christian Contemporary,40.792309,-76.384673
KTCK-FM,33.437056,-97.485028,FM Station,244,08/01/2029,07/19/2001,LICENSED,FLOWER MOUND,TX,CDT,96.7,Y,RADIO LICENSE HOLDINGS LLC,780 Johnson Ferry Road,Suite 500,Atlanta,30342,GA,4049490700,Sports,33.437055,-97.485025
WWSP,44.481917,-89.6765,FM Station,210,12/01/2028,,LICENSED,STEVENS POINT,WI,ED,89.9,Y,"BOARD OF REGENTS, UNIVERSITY OF WISCONSIN SYSTEM",1220 LINDEN DRIVE,,MADISON,53706,WI,,College,44.481911,-89.67651
WVSS,44.915528,-92.076306,FM Station,214,12/01/2028,,LICENSED,MENOMONIE,WI,ED,90.7,Y,"BOARD OF REGENTS, UNIVERSITY OF WISCONSIN SYSTEM",1220 LINDEN DRIVE,,MADISON,53706,WI,,Public Radio,44.91552,-92.076292
WSUP,42.732472,-90.485944,FM Station,213,12/01/2028,02/27/2022,LICENSED AND SILENT,PLATTEVILLE,WI,ED,90.5,Y,"BOARD OF REGENTS, UNIVERSITY OF WISCONSIN SYSTEM",1220 LINDEN DRIVE,,MADISON,53706,WI,,College,42.732493,-90.485962
KKIS-FM,60.523306,-151.058611,FM Station,243,02/01/2030,02/14/2001,LICENSED,SOLDOTNA,AK,CDT,96.5,Y,"KSRM Radio Group, Inc.",40960 K-Beach Road,,Kenai,99611,AK,9072838700,Hot AC,60.523318,-151.058613
WFWM,39.58175,-78.897778,FM Station,220,10/01/2027,,LICENSED,FROSTBURG,MD,EDT,91.9,Y,FROSTBURG STATE UNIVERSITY,WFWM RADIO,STANGLE BUILDING,FROSTBURG,21532,MD,3016874143,Public Radio,39.581756,-78.897801
KBPG,44.913833,-95.736417,FM Station,208,04/01/2029,09/30/2002,LICENSED,MONTEVIDEO,MN,EDT,89.5,Y,Real Presence Radio,503 7th Street North,Suite 101,Fargo,58102,ND,7017950122,Religious,44.913833,-95.736417
WCDE,38.930639,-79.846722,FM Station,210,10/01/2027,12/14/2011,LICENSED,ELKINS,WV,ED,89.9,Y,"BOARD OF TRUSTEES, DAVIS & ELKINS COLLEGE.",RADIO STATION WCDE(FM),100 CAMPUS DRIVE,ELKINS,26241,WV,,Christian Contemporary,38.930662,-79.846735
KANW,35.21225,-106.449722,FM Station,206,10/01/2029,,LICENSED,ALBUQUERQUE,NM,ED,89.1,Y,"BOARD OF EDUCATION OF THE CITY OF ALBUQUERQUE, NM",2020 COAL AVE SE,,ALBUQUERQUE,87106,NM,,Public Radio,35.212265,-106.449746
WCVF-FM,42.452278,-79.336972,FM Station,205,06/01/2022,,LICENSED,FREDONIA,NY,ED,88.9,Y,BOARD OF TRUSTEES OF STATE UNIVERSITY OF NEW YORK,SVNY FREDONIA,115 MCEWEN HALL,FREDONIA,14063,NY,,College,42.45228,-79.336988
WEMC,38.472333,-78.882222,FM Station,219,10/01/2027,,LICENSED,HARRISONBURG,VA,ED,91.7,Y,BOARD OF TRUSTEES OF EASTERN MENNONITE UNIVERSITY,1200 PARK RD,,HARRISONBURG,22802,VA,,Classical,38.472346,-78.882249
WMLU,37.297306,-78.3945,FM Station,217,10/01/2027,10/27/2000,LICENSED,FARMVILLE,VA,ED,91.3,Y,LONGWOOD UNIVERSITY,201 HIGH STREET,,FARMVILLE,23909,VA,(434)395-2792,College,37.297319,-78.394496
WUEC,44.8,-91.465833,FM Station,209,12/01/2028,,LICENSED,EAU CLAIRE,WI,EDT,89.7,Y,"BOARD OF REGENTS, UNIVERSITY OF WISCONSIN SYSTEM",1730 VAN HISE HALL,1220 LINDEN DRIVE,MADISON,53706,WI,,Public Radio,44.799988,-91.465827
KBBQ-FM,35.447583,-94.365222,FM Station,274,06/01/2028,,LICENSED,VAN BUREN,AR,CDT,102.7,Y,CUMULUS LICENSING LLC,780 Johnson Ferry Road,Suite 500,Atlanta,30342,GA,4049490700,Top-40,35.447589,-94.365213
KUWS,46.789083,-92.114333,FM Station,217,12/01/2028,,LICENSED,SUPERIOR,WI,ED,91.3,Y,"BOARD OF REGENTS, UNIVERSITY OF WISCONSIN SYSTEM",1220 LINDEN DRIVE #1866,,MADISON,53706,WI,,Public Radio,46.789107,-92.114357
WRST-FM,44.029139,-88.552333,FM Station,212,12/01/2028,,LICENSED,OSHKOSH,WI,ED,90.3,Y,"BOARD OF REGENTS, UNIVERSITY OF WISCONSIN SYSTEM",1220 LINDEN DRIVE,,MADISON,53706,WI,,Public Radio,44.029151,-88.552335
WFXJ-FM,41.8845,-80.640917,FM Station,298,10/01/2028,06/27/2002,LICENSED,NORTH KINGSVILLE,OH,CDT,107.5,Y,"MEDIA ONE HOLDINGS, LLC",2000 AUBURN DRIVE,SUITE 200,BEACHWOOD,44122,OH,2162928113,Classic Rock,41.884498,-80.640912
KZRV,45.767444,-94.134694,FM Station,244,04/01/2029,,LICENSED,SARTELL,MN,CDT,96.7,Y,"TOWNSQUARE MEDIA LICENSEE OF ST. CLOUD, INC.",1 MANHATTANVILLE ROAD,SUITE 202,PURCHASE,10577,NY,2038610900,Classic Hits,45.767466,-94.134712
WYKV,42.556472,-73.867639,FM Station,233,06/01/2030,,LICENSED,RAVENA,NY,EDT,94.5,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD,,ROCKLIN,95765,CA,9162511600,Christian Contemporary,42.556468,-73.867626
KDSR,,,FM Station,266,04/01/2029,,LICENSED,WILLISTON,ND,CDT,101.1,Y,WILLISTON COMMUNITY BROADCASTING CORPORATION,910 EAST BROADWAY,,WILLISTON,58801,ND,7015724478,Adult Hits,48.058632,-104.001877
KZMX-FM,43.44275,-103.457972,FM Station,244,04/01/2029,09/01/2016,LICENSED,HOT SPRINGS,SD,H,96.7,Y,"MT. RUSHMORE BROADCASTING, INC.",218 N. WOLCOTT STREET,,CASPER,82601,WY,,Classic Rock,43.44275,-103.457972
WJCS,40.564556,-75.439917,FM Station,207,08/01/2030,11/26/1999,LICENSED,ALLENTOWN,PA,EDT,89.3,Y,BEACON BROADCASTING CORPORATION,PO BOX 8900,,ALLENTOWN,18105,PA,6107917262,Religious,40.564542,-75.439904
KBBZ,48.511611,-114.3715,FM Station,253,04/01/2029,07/24/2001,LICENSED,KALISPELL,MT,H,98.5,Y,"BEE BROADCASTING, INC.",PO BOX 5409,,KALISPELL,59903,MT,,Classic Rock,48.511633,-114.371524
KEYA,48.843611,-99.750972,FM Station,203,04/01/2029,,LICENSED,BELCOURT,ND,ED,88.5,Y,"KEYA, INC.",P.O. BOX 190,,BELCOURT,58316,ND,,Native American,48.843616,-99.75098
KBCS,47.544,-122.109278,FM Station,217,02/01/2030,03/06/2002,LICENSED,BELLEVUE,WA,ED,91.3,Y,BELLEVUE COLLEGE,3000 LANDERHOLM CIRCLE SE,,BELLEVUE,98007,WA,,Variety,47.54399,-122.109288
KASB,47.603972,-122.198444,FM Station,210,02/01/2030,05/15/2018,LICENSED,BELLEVUE,WA,ED,89.9,Y,BELLEVUE SCHOOL DISTRICT #405,"BRAD CONGER, CTE, BELLEVUE HIGH SCHOOL",10416 SE WOLVERINE WAY,BELLEVUE,98004,WA,(425)456-7101,Grade School (K-12),47.603988,-122.198456
KBIQ,38.745278,-104.861361,FM Station,274,04/01/2029,,LICENSED,MANITOU SPRINGS,CO,CDT,102.7,Y,"BISON MEDIA, INC.",4880 SANTA ROSA ROAD,,CAMARILLO,93012,CA,8059870400,Christian Contemporary,38.745269,-104.861361
WKZY,44.072944,-88.256861,FM Station,225,12/01/2028,10/12/2011,LICENSED,CHILTON,WI,CDT,92.9,Y,"WOODWARD COMMUNICATIONS, INC.",P.O. BOX 1519,,APPLETON,54912,WI,9208315655,Top-40,44.072934,-88.256854
WRTM-FM,32.522222,-90.076667,FM Station,263,06/01/2028,02/24/2000,LICENSED,SHARON,MS,H,100.5,Y,COMMANDER COMMUNICATIONS CORPORATION,P.O. BOX 31235,,JACKSON,39286,MS,(601)636-7944,Urban Contemporary,32.522221,-90.076668
WPXY-FM,43.134833,-77.584889,FM Station,250,06/01/2030,07/19/2002,LICENSED,ROCHESTER,NY,CDT,97.9,Y,"Audacy License, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,6106605610,Top-40,43.134832,-77.584889
WKCJ,37.804833,-80.350639,FM Station,227,10/01/2027,02/04/2016,LICENSED,WHITE SULPHUR SPRING,WV,CDT,93.3,Y,"RADIO GREENBRIER, LLC",9196 SENECA TRAIL SOUTH,,RONCEVERTE,24970,WV,3046451327,Classic Hits,37.804844,-80.350627
WGFM,45.17,-84.751139,FM Station,286,10/01/2028,,LICENSED,CHEBOYGAN,MI,CDT,105.1,Y,"BLACK DIAMOND BROADCAST HOLDINGS, LLC",PO BOX 6016,,TRAVERSE CITY,49696,MI,2319224981,Rock,45.170012,-84.751147
WCLK,33.807333,-84.339361,FM Station,220,04/01/2028,07/23/2001,LICENSED,ATLANTA,GA,ED,91.9,Y,CLARK ATLANTA UNIVERSITY,"111 JAMES P. BRAWLEY DR, SW",,ATLANTA,30314,GA,(404)880-8869,Jazz,33.807327,-84.339369
KLOS,34.226944,-118.067,FM Station,238,12/01/2029,,LICENSED,LOS ANGELES,CA,H,95.5,Y,"KLOS RADIO HOLDINGS, LLC",9550 FIRESTONE BOULEVARD,SUITE 105,DOWNEY,90241,CA,(562)745-2300,Classic Rock,34.226948,-118.067013
KHGA,35.450361,-90.703167,FM Station,280,06/01/2028,06/04/2010,LICENSED,EARLE,AR,H,103.9,Y,CATHERINE JOANNA FLINN,1462 HIGHWOOD DRIVE,,MCLEAN,22101,VA,,Nostalgia,35.450361,-90.703167
KVLL-FM,31.113389,-94.808278,FM Station,234,08/01/2029,08/15/2007,LICENSED,WELLS,TX,CDT,94.7,Y,"Townsquare License, LLC",1 Manhattanville Road,Suite 202,Purchase,10577,NY,2038610900,Spanish Hits,31.113382,-94.808291
WTHT,43.952028,-70.295611,FM Station,260,04/01/2030,,LICENSED,AUBURN,ME,CDT,99.9,Y,"WBIN MEDIA CO., INC.",126 DANIEL STREET,SUITE 200,PORTSMOUTH,3801,NH,6034310000,Country,43.952019,-70.295609
KCLK-FM,46.457389,-117.101833,FM Station,231,02/01/2030,,LICENSED,CLARKSTON,WA,H,94.1,Y,PACIFIC EMPIRE RADIO CORPORATION,403  CAPITAL STREET,,LEWISTON,83501,ID,(208)799-9012,Country,46.457384,-117.101828
KBSB,47.486611,-94.874694,FM Station,209,04/01/2029,,LICENSED,BEMIDJI,MN,ED,89.7,Y,BEMIDJI STATE UNIVERSITY,1500 BIRCHMONT DRIVE,,BEMIDJI,56601,MN,(218)755-3903,Top-40,47.486619,-94.87472
WEJZ,30.323028,-81.642583,FM Station,241,02/01/2028,,LICENSED,JACKSONVILLE,FL,CDT,96.1,Y,RENDA BROADCASTING CORP. OF NEVADA,900 Parish Street,4th Floor,Pittsburgh,15220,PA,4128751800,Adult Contemporary,30.323018,-81.642595
KOFH,31.394472,-110.930194,FM Station,256,10/01/2029,01/25/2017,LICENSED,NOGALES,AZ,H,99.1,Y,FELIX CORPORATION,934 N. BEJARANO STREET,,NOGALES,85621,AZ,,Spanish Hits,31.394472,-110.930194
WJMM-FM,38.065639,-84.486889,FM Station,256,08/01/2028,10/25/2000,LICENSED,KEENE,KY,H,99.1,Y,"CHRISTIAN BROADCASTING SYSTEM, LTD.",P.O. BOX 808,,FENTON,48430,MI,(810)694-4146,Religious,38.065633,-84.486883
KANY,46.933139,-123.73375,FM Station,297,02/01/2030,03/29/2010,LICENSED,COSMOPOLIS,WA,CDT,107.3,Y,"Jodesha Broadcasting, Inc.",,,Aberdeen,98520,WA,3605333000,Top-40,46.93315,-123.733775
KJEZ,36.847278,-90.331222,FM Station,238,02/01/2029,,LICENSED,POPLAR BLUFF,MO,CDT,95.5,Y,MRR LICENSE LLC,900 LASKIN ROAD,,VIRGINIA BEACH,23451,VA,7574379800,Classic Rock,36.847276,-90.331219
WNNF,39.116444,-84.501889,FM Station,231,10/01/2028,,LICENSED,CINCINNATI,OH,CDT,94.1,Y,CUMULUS LICENSING LLC,780 Johnson Ferry Road,Suite 500,Atlanta,30342,GA,4049490700,Country,39.116449,-84.501887
WSPX,33.320444,-80.730917,FM Station,233,12/01/2027,,LICENSED,BOWMAN,SC,CDT,94.5,Y,"COMMUNITY BROADCASTERS, LLC",199 WEALTHA AVE,,WATERTOWN,13601,NY,3157821240,Gospel Music,33.320437,-80.730928
WQHE,41.543167,-79.692222,FM Station,202,08/01/2030,02/19/2013,LICENSED,OIL CITY,PA,EDT,88.3,Y,Holy Family Communications,6325 Sheridan Drive,,Williamsville,14221,NY,7168396117,Religious,41.54317,-79.692219
KSRY,35.074944,-118.369778,FM Station,276,12/01/2029,,LICENSED,TEHACHAPI,CA,CDT,103.1,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581,Alternative,35.074968,-118.369804
WPTI,36.345139,-79.906417,FM Station,233,12/01/2027,08/31/2001,LICENSED,EDEN,NC,CDT,94.5,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,,TULSA,74136,OK,9186644581,Talk,36.345137,-79.906427
WJZD-FM,30.433528,-89.036139,FM Station,233,06/01/2028,,LICENSED,LONG BEACH,MS,H,94.5,Y,"WJZD, INC.",P. O. BOX 6216,,GULFPORT,39506,MS,,Urban Contemporary,30.43353,-89.036147
WBHV-FM,40.901167,-77.838611,FM Station,233,08/01/2030,04/19/2002,LICENSED,STATE COLLEGE,PA,CDT,94.5,Y,"JFLIV, LLC",36 East Shore Drive,,Jefferson Township,18436,MD,4842697078,Top-40,40.901171,-77.838614
WXFL,34.904806,-87.400583,FM Station,241,04/01/2028,09/26/2000,LICENSED,FLORENCE,AL,H,96.1,Y,BIG RIVER BROADCASTING CORPORATION,624 SAM PHILLIPS ST,,FLORENCE,35630,AL,,Country,34.904807,-87.400578
KBPN,46.422472,-94.461667,FM Station,202,04/01/2029,11/14/2017,LICENSED,BRAINERD,MN,EDT,88.3,Y,Minnesota Public Radio,480 Cedar Street,,Saint Paul,55101,MN,6512901500,Public Radio,46.422467,-94.461673
KMJJ-FM,32.493472,-93.765444,FM Station,259,06/01/2028,,LICENSED,SHREVEPORT,LA,CDT,99.7,Y,CUMULUS LICENSING LLC,780 Johnson Ferry Road,Suite 500,Atlanta,30342,GA,4049490700,Hip-Hop,32.493486,-93.765457
WNCO-FM,40.840333,-82.357111,FM Station,267,10/01/2028,03/28/2001,LICENSED,ASHLAND,OH,CDT,101.3,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581,Country,40.840335,-82.357108
WCYY,43.54425,-70.403944,FM Station,232,04/01/2030,,LICENSED,BIDDEFORD,ME,CDT,94.3,Y,"Townsquare License, LLC",1 Manhattanville Road,Suite 202,Purchase,10577,NY,2038610900,Alternative,43.54425,-70.403939
WUSN,41.898917,-87.623111,FM Station,258,12/01/2028,,LICENSED,CHICAGO,IL,CDT,99.5,Y,"Audacy License, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,6106605610,Country,41.898922,-87.623109
WLCN,40.244194,-89.26425,FM Station,242,12/01/2028,08/17/2005,LICENSED,ATLANTA,IL,H,96.3,Y,"KM RADIO OF ATLANTA, L.L.C.",3654 WEST JARVIS AVENUE,,SKOKIE,60076,IL,,Country,40.244208,-89.264259
KNSE,43.640806,-93.147694,FM Station,211,04/01/2029,01/21/2004,LICENSED,AUSTIN,MN,EDT,90.1,Y,MINNESOTA PUBLIC RADIO,480 Cedar Street,,Saint Paul,55101,MN,6512901500,Public Radio,43.640793,-93.147701
WZZO,40.620389,-75.293222,FM Station,236,08/01/2030,,LICENSED,BETHLEHEM,PA,CDT,95.1,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581,Classic Rock,40.620377,-75.293233
WMAL-FM,38.874556,-77.223028,FM Station,290,10/01/2027,11/27/2001,LICENSED,WOODBRIDGE,VA,CDT,105.9,Y,RADIO LICENSE HOLDINGS LLC,780 Johnson Ferry Road,Suite 500,Atlanta,30342,GA,4049490700,News/Talk,38.874556,-77.223037
WTAK-FM,34.462583,-86.643306,FM Station,291,04/01/2028,,LICENSED,HARTSELLE,AL,CDT,106.1,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581,Classic Rock,34.462593,-86.643328
KKDA-FM,32.58875,-96.968333,FM Station,283,08/01/2029,,LICENSED,DALLAS,TX,CDT,104.5,Y,"SERVICE BROADCASTING GROUP, LLC",2221 E. LAMAR BOULEVARD,SUITE 400,ARLINGTON,76006,TX,9726475021,Hip-Hop,32.588747,-96.968338
WBDC,38.208639,-86.899972,FM Station,265,08/01/2028,,LICENSED,HUNTINGBURG,IN,CDT,100.9,Y,"DUBOIS COUNTY BROADCASTING, INC.",PO BOX 1009,,JASPER,47547,IN,,Country,38.208665,-86.899994
WYLE,41.252278,-80.357556,FM Station,236,08/01/2030,,LICENSED,GROVE CITY,PA,CDT,95.1,Y,"Southern Belle Media Family, LLC",115 West Main St,,Frankfort,40601,KY,5028751130,Classic Country,41.252279,-80.357567
KKLH,37.205889,-92.905722,FM Station,284,02/01/2029,02/08/2000,LICENSED,MARSHFIELD,MO,H,104.7,Y,"MW SPRINGMO, INC.",2453 E. ELM ST.,,SPRINGFIELD,65802,MO,(417)886-5677,Classic Rock,37.205883,-92.905731
WMEM,46.551694,-67.81,FM Station,291,04/01/2030,03/20/2001,LICENSED,PRESQUE ISLE,ME,ED,106.1,Y,MAINE PUBLIC BROADCASTING CORPORATION,1450 LISBON ST,,LEWISTON,4240,ME,(207)783-9101,Public Radio,46.551709,-67.810023
WMYP,17.7475,-64.836389,FM Station,252,02/01/2020,08/28/2002,LICENSED,FREDERIKSTED,VI,CDT,98.3,Y,Friedman,PO BOX 25387,,CHRISTIANSTED,824,VI,3407720098,Tropical,17.745529,-64.835979
KWFS-FM,33.897611,-98.542556,FM Station,272,08/01/2029,,LICENSED,WICHITA FALLS,TX,CDT,102.3,Y,"Townsquare License, LLC",1 Manhattanville Road,Suite 202,Purchase,10577,NY,2038610900,Country,33.897598,-98.542555
KSCH,33.152056,-95.603556,FM Station,240,08/01/2029,,LICENSED,SULPHUR SPRINGS,TX,H,95.9,Y,"EAST TEXAS BROADCASTING, INC.",P.O. BOX 990,,MOUNT PLEASANT,75456,TX,,Country,33.152058,-95.603566
WRIQ,37.527917,-77.379694,FM Station,209,10/01/2027,01/14/2020,LICENSED,CHARLES CITY,VA,EDT,89.7,Y,"VIRGINIA TECH FOUNDATION, INC.",3520 KINGSBURY LANE,,ROANOKE,24014,VA,5409898900,Public Radio,37.527924,-77.379703
KCOL-FM,30.062167,-93.980722,FM Station,223,08/01/2029,,LICENSED,GROVES,TX,CDT,92.5,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,,TULSA,74136,OK,9186644581,Classic Hits,30.062156,-93.980731
WHIZ-FM,39.7145,-82.069306,FM Station,224,10/01/2028,,LICENSED,SOUTH ZANESVILLE,OH,CDT,92.7,Y,"Marquee Broadcasting Ohio, Inc.",629 Downard Road,,Zanesville,43701,OH,3016619610,Top-40,39.714513,-82.069308
KLCY,40.537722,-109.699861,FM Station,288,10/01/2029,,LICENSED,VERNAL,UT,H,105.5,Y,"ASHLEY COMMUNICATIONS, INC.",P.O. BOX 307,,VERNAL,84078,UT,(435)789-0920,Country,40.537736,-109.699866
WBQT,42.347306,-71.082528,FM Station,245,04/01/2030,,LICENSED,BOSTON,MA,CDT,96.9,Y,"BEASLEY MEDIA GROUP LICENSES, LLC",3033 RIVIERA DRIVE,SUITE 200,NAPLES,34103,FL,2392635000,Urban Contemporary,42.34732,-71.082552
KKLM,33.466333,-117.141639,FM Station,281,12/01/2029,03/09/2018,LICENSED,MURRIETA,CA,EDT,104.1,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD.,,ROCKLIN,95765,CA,9162511600,Christian Contemporary,33.466335,-117.141643
WERB,41.62175,-72.753139,FM Station,233,04/01/2030,06/05/2015,LICENSED,BERLIN,CT,ED,94.5,Y,BERLIN BOARD OF EDUCATION,139 PATTERSON WAY,,BERLIN,6037,CT,,Grade School (K-12),41.621766,-72.753152
WGNR-FM,40.061972,-85.709417,FM Station,250,08/01/2028,,LICENSED,ANDERSON,IN,ED,97.9,Y,THE MOODY BIBLE INSTITUTE OF CHICAGO,820 N LASALLE ST,,CHICAGO,60610,IL,(312)329-4438,Religious,40.061986,-85.709421
KSTV-FM,32.183194,-98.287,FM Station,226,08/01/2029,04/12/2007,LICENSED,DUBLIN,TX,CDT,93.1,Y,VILLECOM LLC,3209 WEST WASHINGTON,,STEPHENVILLE,76401,TX,2549682141,Country,32.183197,-98.286988
KDFG,36.585806,-121.923,FM Station,280,12/01/2029,12/21/2001,LICENSED,SEASIDE,CA,EDT,103.9,Y,UNIVERSITY OF SOUTHERN CALIFORNIA,1149 S. HILL STREET,SUITE H100,LOS ANGELES,90015,CA,2132257400,Classical,36.585793,-121.92301
KTUT,33.983833,-99.722889,FM Station,208,04/01/2021,04/21/2014,LICENSED,FRANKFORT,SD,ED,89.5,N,"AGNUS DEI COMMUNICATIONS, INC.",6300 S. OLD VILLAGE PLACE,SUITE 203,SIOUX FALLS,57108,SD,6052754659,Gospel Music,33.983834,-99.722907
KTUT,33.983833,-99.722889,FM Station,208,04/01/2021,04/21/2014,LICENSED,FRANKFORT,SD,ED,89.5,N,"AGNUS DEI COMMUNICATIONS, INC.",6300 S. OLD VILLAGE PLACE,SUITE 203,SIOUX FALLS,57108,SD,6052754659,Gospel Music,33.983834,-99.722907
WKGS,43.134778,-77.585,FM Station,294,06/01/2030,,LICENSED,IRONDEQUOIT,NY,CDT,106.7,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581,Top-40,43.134784,-77.585
KFMK,30.32325,-97.799722,FM Station,290,08/01/2029,,LICENSED,ROUND ROCK,TX,ED,105.9,Y,EDUCATIONAL MEDIA FOUNDATION,5700 WEST OAKS BLVD.,,ROCKLIN,95765,CA,(916)251-1600,Christian Contemporary,30.32325,-97.799722
KSSA,37.780028,-100.460417,FM Station,290,06/01/2029,,LICENSED,INGALLS,KS,CDT,105.9,Y,"Western Kansas Broadcast Center, LLC",Murfin Inc.,"250 N. Water, Suite 300",Wichita,67202,KS,3162673241,Regional Mexican,37.780022,-100.460427
KZJZ,47.688222,-91.905972,FM Station,294,04/01/2029,04/25/2019,LICENSED,BABBITT,MN,H,106.7,Y,Real Presence Radio,503 7th Street North,Suite 101,Fargo,58102,ND,(701)795-0122,Religious,47.688249,-91.905991
WYAS,18.331667,-65.686389,FM Station,221,02/01/2028,,LICENSED,LUQUILLO,PR,CDT,92.1,Y,"RADIO SOL 92, WZOL, INC.",P.O. BOX 29072,,RIO PIEDRAS,929,PR,7877671005,Spanish Christian,18.329676,-65.685995
KAJX,39.196639,-106.804472,FM Station,218,04/01/2029,,LICENSED,ASPEN,CO,ED,91.5,Y,ROARING FORK PUBLIC RADIO  INC.,110 E HALLAM ST STE 134,,ASPEN,81611,CO,(970)925-6445,Public Radio,39.196654,-106.804483
WZLX,42.347306,-71.082528,FM Station,264,04/01/2022,,LICENSED,BOSTON,MA,CDT,100.7,Y,"IHM LICENSES, LLC",7136 S. YALE AVENUE,SUITE 501,TULSA,74136,OK,9186644581,Classic Rock,42.34732,-71.082552
KKHH,29.576333,-95.510194,FM Station,239,08/01/2021,,LICENSED,HOUSTON,TX,CDT,95.7,Y,"Audacy License, LLC",2400 MARKET STREET,4TH FLOOR,PHILADELPHIA,19103,PA,6106605610,Adult Hits,29.576346,-95.510221
WQSK,44.792278,-69.968944,FM Station,248,04/01/2030,,LICENSED,MADISON,ME,H,97.5,Y,"BLUEBERRY BROADCASTING, LLC",P.O. BOX 2600,,KENNEBUNKPORT,4046,ME,(207)967-8094,Adult Contemporary,44.792281,-69.968949
WCKM-FM,43.420056,-73.759833,FM Station,253,06/01/2030,,LICENSED,LAKE GEORGE,NY,CDT,98.5,Y,"REGIONAL RADIO GROUP, LLC",238 BAY ROAD,,QUEENSBURY,12804,NY,5187619890,Classic Hits,43.42007,-73.759842
